t,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,
849000,0.734387,0.753436, 0.329135,0.270407, 344.657,186.779, 0.203036,0.166839, 0.915011,0.550477, 0.689222,0.944856, 0.667107,0.541212, 0.414473,0.783554, 0.498041,0.817025, 0.563875,0.976106, 0.894014,0.125562, 0.843203,0.424086, 0.181602,0.421364, 0.13893,0.418517, 0.418204,0.959841, 0.420742,0.498849, 0.248286,0.56041, 0.882167,0.878167, 0.185994,0.502849, -0.646378,-0.323094, 0.291319,0.860122, 0.47663,0.894302, -4722.53,-2557.98, 0.958815,0.896252, 0.975007,0.975877, 0.985121,0.217503, 0.321897,0.134036, 0.169388,0.549085, 0.135541,0.460647, 0.549975,0.497904, 2.20797,2.40768, 0.469216,0.849299, 
850000,0.734396,0.75344, 0.329136,0.270411, 345.756,187.374, 0.203038,0.166842, 0.915001,0.55048, 0.689233,0.944849, 0.667131,0.5412, 0.414466,0.783555, 0.498039,0.817028, 0.563876,0.9761, 0.894013,0.125566, 0.843186,0.424101, 0.18163,0.421375, 0.138879,0.418522, 0.418205,0.959831, 0.420743,0.498854, 0.248285,0.56042, 0.882162,0.878155, 0.185998,0.502858, -0.649313,-0.326801, 0.291652,0.860539, 0.476629,0.894297, -4737.62,-2566.15, 0.958751,0.896248, 0.974986,0.975848, 0.985118,0.217507, 0.321898,0.13404, 0.169396,0.54909, 0.135548,0.460655, 0.549981,0.497908, 2.20959,2.40955, 0.469217,0.849309, 
851000,0.734405,0.753444, 0.329137,0.270415, 346.855,187.969, 0.203039,0.166845, 0.91499,0.550482, 0.689243,0.944842, 0.667155,0.541187, 0.414459,0.783555, 0.498037,0.81703, 0.563877,0.976094, 0.894012,0.125571, 0.843169,0.424117, 0.181659,0.421385, 0.138828,0.418527, 0.418207,0.959822, 0.420745,0.498859, 0.248284,0.56043, 0.882157,0.878142, 0.186002,0.502867, -0.652247,-0.330508, 0.291985,0.860955, 0.476628,0.894293, -4752.71,-2574.33, 0.958687,0.896244, 0.974964,0.97582, 0.985116,0.217511, 0.321898,0.134043, 0.169405,0.549096, 0.135555,0.460664, 0.549987,0.497911, 2.21121,2.41141, 0.469217,0.84932, 
852000,0.734413,0.753449, 0.329139,0.270419, 347.954,188.564, 0.203041,0.166848, 0.914979,0.550485, 0.689254,0.944835, 0.66718,0.541175, 0.414453,0.783556, 0.498034,0.817033, 0.563879,0.976087, 0.894011,0.125575, 0.843152,0.424133, 0.181687,0.421395, 0.138777,0.418532, 0.418208,0.959812, 0.420746,0.498863, 0.248282,0.56044, 0.882152,0.87813, 0.186006,0.502876, -0.655182,-0.334215, 0.292319,0.861371, 0.476627,0.894288, -4767.81,-2582.5, 0.958622,0.89624, 0.974943,0.975791, 0.985113,0.217515, 0.321899,0.134047, 0.169413,0.549101, 0.135561,0.460672, 0.549993,0.497915, 2.21283,2.41328, 0.469218,0.84933, 
853000,0.734422,0.753453, 0.32914,0.270423, 349.053,189.159, 0.203043,0.166851, 0.914969,0.550488, 0.689264,0.944828, 0.667204,0.541163, 0.414446,0.783556, 0.498032,0.817036, 0.56388,0.976081, 0.894011,0.125579, 0.843135,0.424148, 0.181716,0.421405, 0.138726,0.418537, 0.41821,0.959802, 0.420747,0.498868, 0.248281,0.560451, 0.882147,0.878117, 0.18601,0.502885, -0.658116,-0.337922, 0.292652,0.861787, 0.476626,0.894283, -4782.9,-2590.68, 0.958558,0.896236, 0.974921,0.975763, 0.985111,0.217519, 0.3219,0.13405, 0.169422,0.549106, 0.135568,0.460681, 0.549999,0.497918, 2.21446,2.41515, 0.469218,0.84934, 
854000,0.734431,0.753457, 0.329141,0.270427, 350.151,189.754, 0.203044,0.166854, 0.914958,0.550491, 0.689275,0.944821, 0.667228,0.541151, 0.414439,0.783556, 0.498029,0.817039, 0.563881,0.976075, 0.89401,0.125584, 0.843118,0.424164, 0.181744,0.421416, 0.138675,0.418542, 0.418211,0.959793, 0.420748,0.498873, 0.24828,0.560461, 0.882142,0.878104, 0.186014,0.502894, -0.661051,-0.341629, 0.292985,0.862203, 0.476625,0.894278, -4797.99,-2598.85, 0.958494,0.896232, 0.9749,0.975734, 0.985108,0.217523, 0.321901,0.134054, 0.16943,0.549111, 0.135575,0.460689, 0.550005,0.497921, 2.21608,2.41702, 0.469218,0.84935, 
855000,0.73444,0.753461, 0.329143,0.270431, 351.25,190.35, 0.203046,0.166857, 0.914947,0.550493, 0.689286,0.944814, 0.667253,0.541139, 0.414433,0.783557, 0.498027,0.817042, 0.563882,0.976068, 0.894009,0.125588, 0.843102,0.42418, 0.181773,0.421426, 0.138624,0.418547, 0.418213,0.959783, 0.42075,0.498877, 0.248279,0.560471, 0.882137,0.878092, 0.186018,0.502903, -0.663986,-0.345336, 0.293319,0.862619, 0.476624,0.894274, -4813.08,-2607.02, 0.958429,0.896228, 0.974878,0.975705, 0.985106,0.217527, 0.321901,0.134057, 0.169439,0.549117, 0.135582,0.460698, 0.550012,0.497925, 2.2177,2.41888, 0.469219,0.84936, 
856000,0.734449,0.753466, 0.329144,0.270435, 352.349,190.945, 0.203048,0.16686, 0.914937,0.550496, 0.689296,0.944807, 0.667277,0.541127, 0.414426,0.783557, 0.498025,0.817045, 0.563884,0.976062, 0.894008,0.125592, 0.843085,0.424196, 0.181801,0.421437, 0.138573,0.418552, 0.418214,0.959773, 0.420751,0.498882, 0.248277,0.560481, 0.882132,0.878079, 0.186022,0.502912, -0.66692,-0.349043, 0.293652,0.863035, 0.476624,0.894269, -4828.17,-2615.2, 0.958364,0.896223, 0.974857,0.975676, 0.985103,0.217531, 0.321902,0.13406, 0.169448,0.549122, 0.135589,0.460707, 0.550018,0.497928, 2.21932,2.42075, 0.469219,0.849371, 
857000,0.734457,0.75347, 0.329145,0.270439, 353.448,191.54, 0.203049,0.166863, 0.914926,0.550499, 0.689307,0.9448, 0.667301,0.541115, 0.414419,0.783558, 0.498022,0.817048, 0.563885,0.976055, 0.894007,0.125596, 0.843068,0.424211, 0.18183,0.421447, 0.138523,0.418556, 0.418216,0.959763, 0.420752,0.498887, 0.248276,0.560492, 0.882127,0.878067, 0.186026,0.502921, -0.669855,-0.35275, 0.293986,0.863452, 0.476623,0.894264, -4843.26,-2623.37, 0.9583,0.896219, 0.974835,0.975648, 0.985101,0.217535, 0.321903,0.134064, 0.169456,0.549127, 0.135596,0.460715, 0.550024,0.497932, 2.22095,2.42262, 0.469219,0.849381, 
858000,0.734466,0.753474, 0.329147,0.270443, 354.546,192.135, 0.203051,0.166866, 0.914915,0.550501, 0.689317,0.944793, 0.667325,0.541103, 0.414412,0.783558, 0.49802,0.81705, 0.563886,0.976049, 0.894006,0.125601, 0.843051,0.424227, 0.181858,0.421457, 0.138472,0.418561, 0.418217,0.959754, 0.420753,0.498892, 0.248275,0.560502, 0.882122,0.878054, 0.18603,0.50293, -0.672789,-0.356456, 0.294319,0.863868, 0.476622,0.894259, -4858.35,-2631.55, 0.958235,0.896215, 0.974813,0.975619, 0.985098,0.217539, 0.321904,0.134067, 0.169465,0.549132, 0.135602,0.460724, 0.55003,0.497935, 2.22257,2.42448, 0.46922,0.849391, 
